,CompoundScore,NegativeScore,NeutralScore,NewsOutlet,PositiveScore,Timestamp,Tweet,TweetAgo
31,-0.4019,0.101,0.899,BBC,0.0,2018-03-25 03:43:26 AM,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",31
32,0.5719,0.0,0.764,BBC,0.236,2018-03-25 03:43:31 AM,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",32
33,-0.3612,0.161,0.839,BBC,0.0,2018-03-25 04:30:15 AM,"Ever wondered what made you feel moody? It might be your gut.

? https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",33
34,0.0,0.0,1.0,BBC,0.0,2018-03-25 05:30:04 AM,?Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,34
35,0.0,0.0,1.0,BBC,0.0,2018-03-25 07:03:02 AM,"Weighing just 100g, a newborn panda is one 900th the size of its mum! ?? #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",35
36,0.5574,0.0,0.816,BBC,0.184,2018-03-25 08:03:04 AM,"??? @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",36
37,0.1779,0.0,0.909,BBC,0.091,2018-03-25 09:09:03 AM,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ????… https://t.co/uKD9BQWmUi",37
38,0.0,0.0,1.0,BBC,0.0,2018-03-25 09:30:02 AM,"? We could listen to him speak all day. 

? Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",38
39,0.4588,0.0,0.833,BBC,0.167,2018-03-25 10:03:03 AM,"????? Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",39
40,0.5267,0.0,0.815,BBC,0.185,2018-03-25 12:30:07 PM,"When you're enjoying being single and people just can't deal with it. ?? @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",40
41,0.7783,0.0,0.688,BBC,0.312,2018-03-26 01:24:04 PM,"Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq",41
42,-0.6249,0.194,0.806,BBC,0.0,2018-03-26 02:03:02 PM,"Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9",42
43,0.2263,0.09,0.749,BBC,0.161,2018-03-26 02:30:10 AM,"Wishing you could get out of bed just that little bit earlier? ?

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s",43
44,0.5819,0.0,0.818,BBC,0.182,2018-03-26 03:29:04 AM,"?Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ",44
45,0.0,0.0,1.0,BBC,0.0,2018-03-26 04:04:01 AM,"The kiwi bird's egg is so large, it takes almost ten days to lay! ???  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ",45
46,0.3182,0.0,0.753,BBC,0.247,2018-03-26 04:33:01 AM,"? @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C",46
47,0.4588,0.0,0.864,BBC,0.136,2018-03-26 04:35:06 AM,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH,47
48,-0.128,0.07,0.93,BBC,0.0,2018-03-26 05:00:07 AM,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q",48
49,-0.5106,0.163,0.837,BBC,0.0,2018-03-26 06:00:05 AM,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj",49
50,0.4404,0.0,0.828,BBC,0.172,2018-03-26 06:48:03 AM,Apple wants to introduce new emojis to better represent people with disabilities. ??? https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,50
51,0.0,0.0,1.0,BBC,0.0,2018-03-26 07:58:02 AM,"Never let a squirrel nibble your nobble... ???
https://t.co/cHm9m6At3m",51
52,0.0,0.0,1.0,BBC,0.0,2018-03-26 10:11:57 AM,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",52
